time;P
20230216:1410;5846.7
20230216:1510;4079.7000000000003
20230216:1610;118.4
20230216:1710;0.0
20230216:1810;0.0
20230216:1910;0.0
20230216:2010;0.0
20230216:2110;0.0
20230216:2210;0.0
20230216:2310;0.0
20230217:0010;0.0
20230217:0110;0.0
20230217:0210;0.0
20230217:0310;0.0
20230217:0410;0.0
20230217:0510;0.0
20230217:0610;0.0
20230217:0710;137.20000000000002
20230217:0810;3938.0
20230217:0910;5798.400000000001
20230217:1010;6928.099999999999
20230217:1110;7301.4
20230217:1210;7247.4
20230217:1310;6814.5
20230217:1410;5691.599999999999
20230217:1510;3854.1000000000004
20230217:1610;147.79999999999998
20230217:1710;0.0
20230217:1810;0.0
20230217:1910;0.0
20230217:2010;0.0
20230217:2110;0.0
20230217:2210;0.0
20230217:2310;0.0
20230218:0010;0.0
20230218:0110;0.0
20230218:0210;0.0
20230218:0310;0.0
20230218:0410;0.0
20230218:0510;0.0
20230218:0610;0.0
20230218:0710;135.39999999999998
20230218:0810;4072.9
20230218:0910;5812.1
20230218:1010;7030.700000000001
20230218:1110;7621.3
20230218:1210;7403.400000000001
20230218:1310;7043.099999999999
20230218:1410;5785.299999999999
20230218:1510;4091.1000000000004
20230218:1610;135.8
20230218:1710;0.0
20230218:1810;0.0
20230218:1910;0.0
20230218:2010;0.0
20230218:2110;0.0
20230218:2210;0.0
20230218:2310;0.0
20230219:0010;0.0
20230219:0110;0.0
20230219:0210;0.0
20230219:0310;0.0
20230219:0410;0.0
20230219:0510;0.0
20230219:0610;0.0
20230219:0710;1600.6999999999998
20230219:0810;462.0
20230219:0910;1827.4
20230219:1010;1931.3
20230219:1110;3329.4
20230219:1210;4720.2
20230219:1310;6478.3
20230219:1410;5526.0
20230219:1510;4263.4
20230219:1610;146.6
20230219:1710;0.0
